lot_id,tray_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
LOT-101,TRAY-1101,215417,87502,45331,118,3556,405,465,404,1748,3883,3432,118,290,291,42961,5,343864,6,209363,6
LOT-101,TRAY-1107,217117,86474,45687,118,3585,405,458,405,1645,3925,3406,118,290,291,42998,5,343050,5,209541,6
LOT-102,TRAY-1065,217728,86933,48198,118,3561,405,459,406,1774,3890,3421,118,289,290,42873,5,344246,5,209605,5
LOT-102,TRAY-1066,217728,86933,48197,118,3550,405,457,405,1758,3875,3440,117,290,290,42992,5,343576,5,209601,5
LOT-102,TRAY-1068,217616,86901,49482,118,3604,404,461,405,1864,3922,3589,117,280,279,42967,5,344824,5,209556,6
LOT-102,TRAY-1071,218091,86611,47628,119,3562,405,460,405,1761,3894,3456,117,291,290,42864,13,343561,13,209578,14
LOT-102,TRAY-1073,217814,86598,47631,119,3551,404,451,405,1775,3883,3490,118,279,280,43019,5,344418,5,209671,6
LOT-102,TRAY-1078,218324,86631,46961,119,3585,404,462,405,1506,3911,3490,117,280,280,43022,5,344352,5,209553,5
LOT-102,TRAY-1080,216944,86711,46836,118,3547,404,461,404,1824,3877,3522,118,290,291,43032,5,343844,5,209386,5
LOT-102,TRAY-1081,217422,86496,47114,118,3565,403,456,404,1725,3884,3447,118,291,291,42899,5,344119,5,209641,6
LOT-102,TRAY-1082,217422,86496,47114,119,3566,405,465,404,2876,3894,4440,118,291,290,42899,5,344119,5,209640,6
LOT-102,TRAY-1084,217511,87289,45566,118,3592,405,456,404,1604,3914,3362,118,291,290,42923,5,342663,5,209581,5
LOT-102,TRAY-1085,217547,87644,44883,119,3584,405,458,405,1825,3912,3536,117,290,290,43080,5,343999,5,209544,5
LOT-102,TRAY-1086,217546,87645,44883,118,3590,405,455,405,1673,3915,3405,117,289,290,43079,5,343998,5,209543,5
LOT-102,TRAY-1087,217023,87561,45249,118,3592,405,446,405,1620,3913,3422,119,291,291,42920,5,343871,5,209388,5
LOT-102,TRAY-1092,217544,87520,44748,118,3593,405,443,405,1719,3917,3409,118,290,290,42906,8,343933,6,209603,8
LOT-102,TRAY-1093,217635,87768,44438,119,3568,404,455,405,1747,3910,3275,118,290,291,42926,6,343958,5,209633,6
LOT-102,TRAY-1094,217635,87767,44437,119,3582,405,455,405,1629,3912,3378,117,291,290,42924,6,343958,5,209632,6
LOT-102,TRAY-1095,217386,86449,45420,118,3601,404,452,405,1660,3915,3390,117,290,291,42981,5,342813,5,209426,5
